単身世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年),(令和４年),(令和５年),(令和６年)
83,3,5,6,-,他の被服,7979,8032,7988,6357,7854,7084,6672,7120,6750,7008,6617,6485,6133,6011,6000,5922,5462,5870,5429,5330,4148,4251,4743,4877,4476
84,3,5,7,-,履物類,13282,10738,12419,10085,11370,10592,9655,10308,10433,9678,9755,10427,10796,8789,11144,11929,9408,8638,8763,9654,8244,7765,8110,8375,9885
85,3,5,8,-,被服関連サービス,7161,7086,7016,6624,6661,6672,5436,6378,7125,5563,5764,4954,4615,4665,4479,4450,4604,3718,3870,3452,3398,3256,3582,3571,3498
86,2,6,-,-,保健医療,56866,63117,60730,67764,72517,72547,68651,70074,73798,70188,75808,75309,80335,83467,84178,86426,81543,84992,86770,92538,85544,92436,89289,89116,102020
87,3,6,1,-,医薬品,12937,12282,12644,13157,12623,11196,11993,12351,12296,12628,17119,16862,15906,16496,15744,16964,17326,17701,17730,18633,18061,18484,16983,17923,19103
88,3,6,2,-,健康保持用摂取品,5831,6849,8548,9416,10988,9691,8406,8084,10130,9095,10343,11441,13018,13199,11382,13645,12708,12632,15070,12694,12034,12654,12104,13577,11533
89,3,6,3,-,保健医療用品・器具,11855,12815,10926,10946,12345,12360,10172,12462,11821,9873,11503,11553,15180,12387,16652,11508,12874,14557,12418,13578,16671,15307,13866,14105,16182
90,3,6,4,-,保健医療サービス,26244,31172,28613,34245,36561,39300,38080,37176,39552,38591,36842,35453,36231,41384,40400,44309,38635,40103,41552,47632,38778,45991,46336,43511,55202
91,2,7,-,-,交通・通信,276805,244014,266434,267309,263158,293155,248196,265221,262579,247946,245555,235513,229119,238710,237644,226347,225153,227392,259427,252811,219717,226991,232132,261556,246762
92,3,7,1,-,交通,88332,76757,83154,79860,80793,82558,68459,78848,72734,61820,64403,67486,54878,62704,59690,63051,55243,55080,57146,64048,32309,35685,46146,55202,56025
93,3,7,2,-,自動車等関係費,111360,86220,104536,110131,104800,134118,108763,111847,117555,111364,110273,92432,100475,103536,107684,87508,92914,92947,119318,107243,99933,105469,101859,127025,113923
94,4,7,2,1,自動車等購入,23114,11628,13831,23502,18490,32462,21746,25926,24770,19820,27022,9294,10498,17512,17218,3860,8419,9304,21860,9123,7492,5740,1776,9556,6876
95,4,7,2,2,自転車購入,1022,707,1159,1054,1132,1307,677,1481,2856,946,1817,1466,989,995,1299,877,2294,1134,4199,2250,1190,1473,945,1671,973
96,4,7,2,3,自動車等維持,87224,73884,89546,85575,85177,100350,86340,84441,89929,90597,81434,81671,88987,85029,89167,82771,82201,82509,93260,95871,91251,98256,99137,115797,106074
97,3,7,3,-,通信,77113,81038,78744,77318,77565,76478,70975,74525,72290,74762,70879,75595,73766,72470,70270,75788,76996,79365,82962,81520,87474,85837,84128,79329,76814
98,2,8,-,-,教育,126,1297,793,1351,137,2060,122,315,50,247,3795,50,22,299,6,9,149,93,13,238,29,94,18,28,111
99,2,9,-,-,教養娯楽,313527,292586,286082,269389,284877,276628,255948,271436,261635,268787,260705,249141,229798,237150,239309,223770,240253,230323,236093,233110,190399,211845,224400,233099,244502
100,3,9,1,-,教養娯楽用耐久財,38144,29990,34285,29783,29028,29282,23004,30998,27598,32869,42357,23383,12715,16262,16971,11632,13179,14402,12140,12681,18909,22943,19679,18355,19187
101,3,9,2,-,教養娯楽用品,58920,57717,51702,49667,52895,54617,46384,50843,51150,50927,47414,48850,50064,45907,45188,47253,54747,53294,50192,47998,48455,55733,50877,56287,60050
102,3,9,3,-,書籍・他の印刷物,44761,42121,45737,41866,44960,43931,38175,40774,42137,38699,38282,38199,36556,35513,35395,32298,34113,34066,29877,29151,28268,28371,27423,28851,26579
